data_transacao,loja_id,id_conta,valor_realizado,descricao_sistema
2023-01-01 00:00:00,Loja_Centro,100,1013.97,Transação padrão - Vendas Comida
2023-01-01 00:00:00,Loja_Centro,101,383.45,
2023-01-01 00:00:00,Loja_Centro,200,864.66,Transação padrão - CMV - Comida
2023-01-01 00:00:00,Loja_Centro,200,252.05,
2023-01-01 00:00:00,Loja_Centro,200,234.08,Transação padrão - CMV - Comida
2023-01-01 00:00:00,Loja_Centro,201,115.44,Transação padrão - CMV - Bebida
2023-01-01 00:00:00,Loja_Centro,201,657.08,Transação padrão - CMV - Bebida
2023-01-01 00:00:00,Loja_Centro,300,778.14,Transação padrão - Salários
2023-01-01 00:00:00,Loja_Centro,300,142.12,Transação padrão - Salários
2023-01-01 00:00:00,Loja_Centro,301,544.4,Transação padrão - Horas Extras
2023-01-01 00:00:00,Loja_Centro,301,687.78,Transação padrão - Horas Extras
2023-01-01 00:00:00,Loja_Centro,301,918.48,Transação padrão - Horas Extras
2023-01-01 00:00:00,Loja_Centro,400,700.68,Transação padrão - Marketing e Publicidade
2023-01-01 00:00:00,Loja_Centro,400,322.67,Transação padrão - Marketing e Publicidade
2023-01-01 00:00:00,Loja_Centro,401,1010.93,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-01 00:00:00,Loja_Centro,401,110.94,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-02 00:00:00,Loja_Centro,100,547.6,Transação padrão - Vendas Comida
2023-01-02 00:00:00,Loja_Centro,100,952.3,Transação padrão - Vendas Comida
2023-01-02 00:00:00,Loja_Centro,100,51.57,Transação padrão - Vendas Comida
2023-01-02 00:00:00,Loja_Centro,101,1131.71,Transação padrão - Vendas Bebida
2023-01-02 00:00:00,Loja_Centro,101,172.17,Transação padrão - Vendas Bebida
2023-01-02 00:00:00,Loja_Centro,101,576.78,Transação padrão - Vendas Bebida
2023-01-02 00:00:00,Loja_Centro,200,70.5,Transação padrão - CMV - Comida
2023-01-02 00:00:00,Loja_Centro,200,600.05,Transação padrão - CMV - Comida
2023-01-02 00:00:00,Loja_Centro,200,1060.52,Transação padrão - CMV - Comida
2023-01-02 00:00:00,Loja_Centro,201,519.86,Transação padrão - CMV - Bebida
2023-01-02 00:00:00,Loja_Centro,300,616.3,Transação padrão - Salários
2023-01-02 00:00:00,Loja_Centro,301,271.59,Transação padrão - Horas Extras
2023-01-02 00:00:00,Loja_Centro,301,343.3,Transação padrão - Horas Extras
2023-01-02 00:00:00,Loja_Centro,400,432.4,Transação padrão - Marketing e Publicidade
2023-01-02 00:00:00,Loja_Centro,400,310.15,Transação padrão - Marketing e Publicidade
2023-01-02 00:00:00,Loja_Centro,400,877.02,
2023-01-02 00:00:00,Loja_Centro,401,1142.63,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-02 00:00:00,Loja_Centro,401,1018.0,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-03 00:00:00,Loja_Centro,100,438.94,Transação padrão - Vendas Comida
2023-01-03 00:00:00,Loja_Centro,100,660.91,Transação padrão - Vendas Comida
2023-01-03 00:00:00,Loja_Centro,100,-733.39,Transação padrão - Vendas Comida
2023-01-03 00:00:00,Loja_Centro,101,1143.47,Transação padrão - Vendas Bebida
2023-01-03 00:00:00,Loja_Centro,200,208.63,Transação padrão - CMV - Comida
2023-01-03 00:00:00,Loja_Centro,200,337.23,Transação padrão - CMV - Comida
2023-01-03 00:00:00,Loja_Centro,200,564.29,
2023-01-03 00:00:00,Loja_Centro,201,285.65,Transação padrão - CMV - Bebida
2023-01-03 00:00:00,Loja_Centro,201,790.7,
2023-01-03 00:00:00,Loja_Centro,300,1057.2,Transação padrão - Salários
2023-01-03 00:00:00,Loja_Centro,300,186.53,Transação padrão - Salários
2023-01-03 00:00:00,Loja_Centro,300,378.69,Transação padrão - Salários
2023-01-03 00:00:00,Loja_Centro,301,681.31,Transação padrão - Horas Extras
2023-01-03 00:00:00,Loja_Centro,301,664.17,Transação padrão - Horas Extras
2023-01-03 00:00:00,Loja_Centro,301,656.94,Transação padrão - Horas Extras
2023-01-03 00:00:00,Loja_Centro,400,958.06,Transação padrão - Marketing e Publicidade
2023-01-03 00:00:00,Loja_Centro,400,850.91,Transação padrão - Marketing e Publicidade
2023-01-03 00:00:00,Loja_Centro,400,884.38,Transação padrão - Marketing e Publicidade
2023-01-03 00:00:00,Loja_Centro,401,119.18,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-04 00:00:00,Loja_Centro,100,73.0,Transação padrão - Vendas Comida
2023-01-04 00:00:00,Loja_Centro,101,537.82,Transação padrão - Vendas Bebida
2023-01-04 00:00:00,Loja_Centro,101,920.36,Transação padrão - Vendas Bebida
2023-01-04 00:00:00,Loja_Centro,200,350.48,Transação padrão - CMV - Comida
2023-01-04 00:00:00,Loja_Centro,200,606.29,Transação padrão - CMV - Comida
2023-01-04 00:00:00,Loja_Centro,200,734.35,Transação padrão - CMV - Comida
2023-01-04 00:00:00,Loja_Centro,201,738.06,Transação padrão - CMV - Bebida
2023-01-04 00:00:00,Loja_Centro,201,1012.49,Transação padrão - CMV - Bebida
2023-01-04 00:00:00,Loja_Centro,201,266.38,Transação padrão - CMV - Bebida
2023-01-04 00:00:00,Loja_Centro,300,694.09,Transação padrão - Salários
2023-01-04 00:00:00,Loja_Centro,301,591.78,Transação padrão - Horas Extras
2023-01-04 00:00:00,Loja_Centro,301,713.02,Transação padrão - Horas Extras
2023-01-04 00:00:00,Loja_Centro,301,923.67,Transação padrão - Horas Extras
2023-01-04 00:00:00,Loja_Centro,400,1004.1,Transação padrão - Marketing e Publicidade
2023-01-04 00:00:00,Loja_Centro,400,480.53,Transação padrão - Marketing e Publicidade
2023-01-04 00:00:00,Loja_Centro,401,658.03,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-04 00:00:00,Loja_Centro,401,758.79,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-04 00:00:00,Loja_Centro,401,672.29,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-05 00:00:00,Loja_Centro,100,296.89,Transação padrão - Vendas Comida
2023-01-05 00:00:00,Loja_Centro,101,686.84,Transação padrão - Vendas Bebida
2023-01-05 00:00:00,Loja_Centro,101,1181.84,Transação padrão - Vendas Bebida
2023-01-05 00:00:00,Loja_Centro,101,906.59,Transação padrão - Vendas Bebida
2023-01-05 00:00:00,Loja_Centro,200,887.91,Transação padrão - CMV - Comida
2023-01-05 00:00:00,Loja_Centro,200,1132.22,Transação padrão - CMV - Comida
2023-01-05 00:00:00,Loja_Centro,200,1194.89,Transação padrão - CMV - Comida
2023-01-05 00:00:00,Loja_Centro,201,1137.95,Transação padrão - CMV - Bebida
2023-01-05 00:00:00,Loja_Centro,201,546.0,Transação padrão - CMV - Bebida
2023-01-05 00:00:00,Loja_Centro,201,1154.35,Transação padrão - CMV - Bebida
2023-01-05 00:00:00,Loja_Centro,300,256.05,Transação padrão - Salários
2023-01-05 00:00:00,Loja_Centro,300,551.87,Transação padrão - Salários
2023-01-05 00:00:00,Loja_Centro,301,613.23,Transação padrão - Horas Extras
2023-01-05 00:00:00,Loja_Centro,301,121.47,Transação padrão - Horas Extras
2023-01-05 00:00:00,Loja_Centro,301,66.8,Transação padrão - Horas Extras
2023-01-05 00:00:00,Loja_Centro,400,952.51,Transação padrão - Marketing e Publicidade
2023-01-05 00:00:00,Loja_Centro,401,734.93,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-06 00:00:00,Loja_Centro,100,300.14,Transação padrão - Vendas Comida
2023-01-06 00:00:00,Loja_Centro,101,947.98,Transação padrão - Vendas Bebida
2023-01-06 00:00:00,Loja_Centro,101,577.05,Transação padrão - Vendas Bebida
2023-01-06 00:00:00,Loja_Centro,101,1185.39,Transação padrão - Vendas Bebida
2023-01-06 00:00:00,Loja_Centro,200,300.45,Transação padrão - CMV - Comida
2023-01-06 00:00:00,Loja_Centro,200,1047.45,Transação padrão - CMV - Comida
2023-01-06 00:00:00,Loja_Centro,200,519.45,
2023-01-06 00:00:00,Loja_Centro,201,1036.76,Transação padrão - CMV - Bebida
2023-01-06 00:00:00,Loja_Centro,201,947.12,Transação padrão - CMV - Bebida
2023-01-06 00:00:00,Loja_Centro,201,956.51,Transação padrão - CMV - Bebida
2023-01-06 00:00:00,Loja_Centro,300,476.24,Transação padrão - Salários
2023-01-06 00:00:00,Loja_Centro,300,572.17,Transação padrão - Salários
2023-01-06 00:00:00,Loja_Centro,301,594.55,Transação padrão - Horas Extras
2023-01-06 00:00:00,Loja_Centro,301,1033.97,Transação padrão - Horas Extras
2023-01-06 00:00:00,Loja_Centro,400,255.69,Transação padrão - Marketing e Publicidade
2023-01-06 00:00:00,Loja_Centro,400,670.07,Transação padrão - Marketing e Publicidade
2023-01-06 00:00:00,Loja_Centro,400,528.17,Transação padrão - Marketing e Publicidade
2023-01-06 00:00:00,Loja_Centro,401,1084.22,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-06 00:00:00,Loja_Centro,401,917.26,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-06 00:00:00,Loja_Centro,401,621.95,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-07 00:00:00,Loja_Centro,100,702.55,Transação padrão - Vendas Comida
2023-01-07 00:00:00,Loja_Centro,101,916.9,Transação padrão - Vendas Bebida
2023-01-07 00:00:00,Loja_Centro,101,68.95,Transação padrão - Vendas Bebida
2023-01-07 00:00:00,Loja_Centro,200,1149.93,Transação padrão - CMV - Comida
2023-01-07 00:00:00,Loja_Centro,201,81.25,Transação padrão - CMV - Bebida
2023-01-07 00:00:00,Loja_Centro,300,562.95,Transação padrão - Salários
2023-01-07 00:00:00,Loja_Centro,300,526.08,Transação padrão - Salários
2023-01-07 00:00:00,Loja_Centro,300,1162.44,Transação padrão - Salários
2023-01-07 00:00:00,Loja_Centro,301,287.99,Transação padrão - Horas Extras
2023-01-07 00:00:00,Loja_Centro,301,654.19,Transação padrão - Horas Extras
2023-01-07 00:00:00,Loja_Centro,301,1038.12,Transação padrão - Horas Extras
2023-01-07 00:00:00,Loja_Centro,400,154.79,Transação padrão - Marketing e Publicidade
2023-01-07 00:00:00,Loja_Centro,400,651.93,Transação padrão - Marketing e Publicidade
2023-01-07 00:00:00,Loja_Centro,400,629.19,Transação padrão - Marketing e Publicidade
2023-01-07 00:00:00,Loja_Centro,401,240.48,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-07 00:00:00,Loja_Centro,401,1120.61,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-08 00:00:00,Loja_Centro,100,762.04,Transação padrão - Vendas Comida
2023-01-08 00:00:00,Loja_Centro,100,849.22,Transação padrão - Vendas Comida
2023-01-08 00:00:00,Loja_Centro,101,220.15,Transação padrão - Vendas Bebida
2023-01-08 00:00:00,Loja_Centro,101,999.96,Transação padrão - Vendas Bebida
2023-01-08 00:00:00,Loja_Centro,200,956.72,Transação padrão - CMV - Comida
2023-01-08 00:00:00,Loja_Centro,200,437.12,Transação padrão - CMV - Comida
2023-01-08 00:00:00,Loja_Centro,200,986.49,Transação padrão - CMV - Comida
2023-01-08 00:00:00,Loja_Centro,201,907.63,Transação padrão - CMV - Bebida
2023-01-08 00:00:00,Loja_Centro,300,382.97,Transação padrão - Salários
2023-01-08 00:00:00,Loja_Centro,301,343.05,Transação padrão - Horas Extras
2023-01-08 00:00:00,Loja_Centro,301,829.32,Transação padrão - Horas Extras
2023-01-08 00:00:00,Loja_Centro,400,725.68,Transação padrão - Marketing e Publicidade
2023-01-08 00:00:00,Loja_Centro,400,835.14,Transação padrão - Marketing e Publicidade
2023-01-08 00:00:00,Loja_Centro,400,813.5,Transação padrão - Marketing e Publicidade
2023-01-08 00:00:00,Loja_Centro,401,124.38,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-08 00:00:00,Loja_Centro,401,903.56,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-09 00:00:00,Loja_Centro,100,753.73,Transação padrão - Vendas Comida
2023-01-09 00:00:00,Loja_Centro,100,963.63,Transação padrão - Vendas Comida
2023-01-09 00:00:00,Loja_Centro,100,277.79,Transação padrão - Vendas Comida
2023-01-09 00:00:00,Loja_Centro,101,154.63,
2023-01-09 00:00:00,Loja_Centro,200,909.42,Transação padrão - CMV - Comida
2023-01-09 00:00:00,Loja_Centro,201,767.29,Transação padrão - CMV - Bebida
2023-01-09 00:00:00,Loja_Centro,201,755.16,
2023-01-09 00:00:00,Loja_Centro,300,260.47,Transação padrão - Salários
2023-01-09 00:00:00,Loja_Centro,300,1111.39,Transação padrão - Salários
2023-01-09 00:00:00,Loja_Centro,301,219.5,Transação padrão - Horas Extras
2023-01-09 00:00:00,Loja_Centro,301,541.56,Transação padrão - Horas Extras
2023-01-09 00:00:00,Loja_Centro,400,318.35,Transação padrão - Marketing e Publicidade
2023-01-09 00:00:00,Loja_Centro,400,87.85,Transação padrão - Marketing e Publicidade
2023-01-09 00:00:00,Loja_Centro,401,395.21,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-09 00:00:00,Loja_Centro,401,366.25,Transação padrão - Renda e Serviços (Água/Luz)
2023-01-10 00:00:00,Loja_Centro,100,680.44,Transação padrão - Vendas Comida
2023-01-10 00:00:00,Loja_Centro,100,84.07,Transação padrão - Vendas Comida
2023-01-10 00:00:00,Loja_Centro,100,1089.92,Transação padrão - Vendas Comida
